Open,High,Low,Close,Volume,Dividends,StockSplits
102.75,110.7805023,102.4055023,106.9304962,132026000,0,0
109.0690002,113.1839981,107.8000031,113.0550003,93684000,0,0
113.0999985,113.9925003,110.3539963,110.8105011,74566000,0,0
113.2750015,115.8000031,111.2764969,115.3684998,76448000,0,0
111.4394989,112.8529968,106.2490005,107.1125031,108380000,0,0
106.2805023,110.0339966,106.1930008,107.3190002,88142000,0,0
109.5684967,109.8980026,105.0094986,107.5910034,99500000,0,0
108.4609985,108.8190002,103.9499969,107.5569992,107798000,0,0
104.0250015,105.4000015,101.2600021,104.0999985,102934000,0,0
103.6555023,108.1750031,103.6500015,106.7750015,93120000,0,0
107.9700012,112.6654968,107.4534988,111.0774994,93002000,0,0
113.5500031,115.1869965,112.6279984,115.1464996,93660000,0,0
116.2799988,121.9944992,115.6750031,120.2095032,144634000,0,0
122.2559967,125.1790009,120.6224976,121.6839981,127528000,0,0
121.6839981,125.6100006,120.0449982,125.5110016,100560000,0,0
124.1999969,124.4000015,121.0465012,122.3499985,97604000,0,0
125.25,128.9900055,123.8099976,124.7900009,135269000,0,20
122.0100021,124.0999985,120.6299973,123,85156700,0,0
122.6100006,123.75,120.75,121.1800003,64926600,0,0
119.9899979,121.3000031,116.0999985,116.1500015,67029800,0,0
113.4199982,114.5,109.0500031,109.6500015,87266000,0,0
104.1900024,106.5400009,101.8600006,103.6699982,99277700,0,0
104.1900024,104.8799973,101.4300003,102.3099976,69728800,0,0
103.8600006,109.0599976,103.5299988,107.6699982,85011100,0,0
104.4700012,104.5800018,102.0100021,103.6600037,82186300,0,0
102.8000031,106.9800034,102.5100021,106.2200012,99772100,0,0
108.1999969,111.6299973,103.5599976,108.6800003,70901200,0,0
107.4300003,112.1299973,107.0199966,108.9499969,60040100,0,0
110.3899994,113,107.9300003,112.4400024,64345300,0,0
112.3799973,116.7099991,111.4300003,116.4599991,69867600,0,0
117.0899963,117.9800034,112.6999969,113.2200012,62133200,0,0
113.5,114.8499985,107.0400009,107.4000015,74942900,0,0
107.3799973,110.9899979,106.9100037,108.9199982,66375300,0,0
108.1100006,108.1800003,102.5199966,106.2099991,97679400,0,0
106.2900009,109.75,105.8499985,109.5599976,73021200,0,0
107.5999985,114.0800018,106.3199997,113.5,76583700,0,0
113.2099991,115.4800034,112.0100021,114.3300018,66958900,0,0
113.8499985,116.9899979,113.4899979,116.3300018,57872300,0,0
114.5999985,116.5800018,113.6900024,115.5400009,45719700,0,0
114.0800018,114.3000031,110.8700027,111.75,53487600,0,0
112.1600037,113.2300034,108.3399963,109.2200012,54280300,0,0
107.0299988,111.7799988,106.0100021,110.4000015,61353800,0,0
110.2399979,111.1800003,107.5800018,110.6299973,51163100,0,0
112.5,115.5899963,111.5899963,113.5500031,84317800,0,0
115,117.2399979,113.1500015,113.7600021,59115400,0,0
115.6999969,118.9499969,114.0299988,118.2099991,60990000,0,0
118.6200027,123.4800034,118.3199997,122.7699966,71268300,0,0
123.1999969,124.8499985,121.2600021,124.6299973,60239900,0,0
125.0100021,125.5,121.3499985,122.4199982,51463800,0,0
122.6999969,123.6399994,120.0299988,121.1399994,50221300,0,0
115.7900009,118.1500015,114.5299988,114.8099976,67075100,0,0
117.3099976,121.9000015,117.1600037,120.9700012,61582000,0,0
121.5699997,122.8399963,118.0800018,122.2799988,82245500,0,0
134.8999939,137.6499939,132.4100037,134.9499969,148892900,0,0
134.9600067,138.8300018,133.5099945,135.3899994,76846900,0,0
134.7200012,137.4400024,134.0899963,134.1600037,61922400,0,0
136.2100067,140.4900055,136.0500031,139.5200043,71827800,0,0
140.5800018,143.5599976,139.5500031,142.5700073,70585000,0,0
140.1000061,142.8600006,139.6000061,140.8000031,50686900,0,0
142.0500031,144.2299957,138.2899933,139.4100037,52229000,0,0
138.0500031,138.9499969,136.2100067,137.8300018,40434700,0,0
142.8999939,144.6000061,141.0099945,142.6900024,54773800,0,0
